Ticker,Security Name,Weight (%),Sector,Country,Asset Class
SBK,STANDARD BANK GROUP,0.2,Financials,South Africa,Equity
028260,SAMSUNG C&T CORP,0.2,Industrials,Korea (South),Equity
AMXB,AMERICA MOVIL B,0.2,Communication,Mexico,Equity
2882,CATHAY FINANCIAL HOLDING LTD,0.19,Financials,Taiwan,Equity
NBK,NATIONAL BANK OF KUWAIT,0.19,Financials,Kuwait,Equity
086790,HANA FINANCIAL GROUP INC,0.19,Financials,Korea (South),Equity
1211,SAUDI ARABIAN MINING,0.19,Materials,Saudi Arabia,Equity
3968,CHINA MERCHANTS BANK LTD H,0.19,Financials,China,Equity
VAL,VALTERRA PLATINUM LTD,0.19,Materials,South Africa,Equity
QNBK,QATAR NATIONAL BANK,0.19,Financials,Qatar,Equity
PKO,POWSZECHNA KASA OSZCZEDNOSCI BANK,0.18,Financials,Poland,Equity
CPI,CAPITEC LTD,0.18,Financials,South Africa,Equity
TCS,TATA CONSULTANCY SERVICES LTD,0.18,Information Technology,India,Equity
7010,SAUDI TELECOM,0.18,Communication,Saudi Arabia,Equity
PKN,ORLEN SA,0.18,Energy,Poland,Equity
267260,HD HYUNDAI ELECTRIC LTD,0.18,Industrials,Korea (South),Equity
EMAAR,EMAAR PROPERTIES,0.18,Real Estate,United Arab Emirates,Equity
BAP,CREDICORP LTD,0.18,Financials,Peru,Equity
MTN,MTN GROUP LTD,0.18,Communication,South Africa,Equity
KOTAKBANK,KOTAK MAHINDRA BANK LTD,0.18,Financials,India,Equity
FAB,FIRST ABU DHABI BANK,0.17,Financials,United Arab Emirates,Equity
1288,AGRICULTURAL BANK OF CHINA LTD H,0.17,Financials,China,Equity
6160,BEONE MEDICINES AG,0.17,Health Care,China,Equity
FEMSAUBD,FOMENTO ECONOMICO MEXICANO,0.17,Consumer Staples,Mexico,Equity
035420,NAVER CORP,0.16,Communication,Korea (South),Equity
2327,YAGEO CORP,0.16,Information Technology,Taiwan,Equity
012330,HYUNDAI MOBIS LTD,0.16,Consumer Discretionary,Korea (South),Equity
068270,CELLTRION INC,0.16,Health Care,Korea (South),Equity
BBDC4,BANCO BRADESCO PREF SA,0.16,Financials,Brazil,Equity
HINDUNILVR,HINDUSTAN UNILEVER LTD,0.16,Consumer Staples,India,Equity
SBIN,STATE BANK OF INDIA,0.16,Financials,India,Equity
CEMEXCPO,CEMEX CPO,0.16,Materials,Mexico,Equity
BBCA,BANK CENTRAL ASIA,0.16,Financials,Indonesia,Equity
1088,CHINA SHENHUA ENERGY LTD H,0.16,Energy,China,Equity
B3SA3,B3 BRASIL BOLSA BALCAO SA,0.15,Financials,Brazil,Equity
2885,YUANTA FINANCIAL HOLDING LTD,0.15,Financials,Taiwan,Equity
SUNPHARMA,SUN PHARMACEUTICAL INDUSTRIES LTD,0.15,Health Care,India,Equity
175,GEELY AUTOMOBILE HOLDINGS LTD,0.15,Consumer Discretionary,China,Equity
NTPC,NTPC LTD,0.15,Utilities,India,Equity
6669,WIWYNN CORPORATION CORP,0.15,Information Technology,Taiwan,Equity
EAND,EMIRATES TELECOM,0.15,Communication,United Arab Emirates,Equity
MARUTI,MARUTI SUZUKI INDIA LTD,0.15,Consumer Discretionary,India,Equity
PBBANK,PUBLIC BANK,0.15,Financials,Malaysia,Equity
300750,CONTEMPORARY AMPEREX TECHNOLOGY LT,0.14,Industrials,China,Equity
1024,KUAISHOU TECHNOLOGY,0.14,Communication,China,Equity
WALMEX*,WALMART DE MEXICO V,0.14,Consumer Staples,Mexico,Equity
9987,YUM CHINA HOLDINGS INC,0.14,Consumer Discretionary,China,Equity
TATASTEEL,TATA STEEL LTD,0.14,Materials,India,Equity
BEL,BHARAT ELECTRONICS LTD,0.14,Industrials,India,Equity
MAYBANK,MALAYAN BANKING,0.14,Financials,Malaysia,Equity
TITAN,TITAN COMPANY LTD,0.14,Consumer Discretionary,India,Equity
SCCO,SOUTHERN COPPER CORP,0.14,Materials,Peru,Equity
